table_name,field_name,language,translation,record_id,record_sub_id,field_value,station_sid,course_sid
stops,stop_name,zh-tw,三美園,106 1,,,636e3a30-35ac-4441-bdf6-e0c2e429678e,
stops,stop_name,ja,三美園,106 10,,,88851e54-f37a-4206-bd1f-5ca049de934c,
stops,stop_name,ja-Hrkt,サンビエン,106 10,,,88851e54-f37a-4206-bd1f-5ca049de934c,
stops,stop_name,en,Sambien,106 10,,,88851e54-f37a-4206-bd1f-5ca049de934c,
stops,stop_name,ko,산비엔,106 10,,,88851e54-f37a-4206-bd1f-5ca049de934c,
stops,stop_name,zh-cn,三美园,106 10,,,88851e54-f37a-4206-bd1f-5ca049de934c,
stops,stop_name,zh-tw,三美園,106 10,,,88851e54-f37a-4206-bd1f-5ca049de934c,
stops,stop_name,ja,三美園口,107 1,,,07d7951d-7f7f-4c7c-afa5-2bd92c1724f8,
stops,stop_name,ja-Hrkt,サンビエングチ,107 1,,,07d7951d-7f7f-4c7c-afa5-2bd92c1724f8,
stops,stop_name,en,Sambien-guchi,107 1,,,07d7951d-7f7f-4c7c-afa5-2bd92c1724f8,
stops,stop_name,ko,산비엔 구치,107 1,,,07d7951d-7f7f-4c7c-afa5-2bd92c1724f8,
stops,stop_name,zh-cn,三美园口,107 1,,,07d7951d-7f7f-4c7c-afa5-2bd92c1724f8,
stops,stop_name,zh-tw,三美園口,107 1,,,07d7951d-7f7f-4c7c-afa5-2bd92c1724f8,
stops,stop_name,ja,三美園口,107 2,,,efd2290b-2e96-43f1-9720-c0115cf5c8d7,
stops,stop_name,ja-Hrkt,サンビエングチ,107 2,,,efd2290b-2e96-43f1-9720-c0115cf5c8d7,
stops,stop_name,en,Sambien-guchi,107 2,,,efd2290b-2e96-43f1-9720-c0115cf5c8d7,
stops,stop_name,ko,산비엔 구치,107 2,,,efd2290b-2e96-43f1-9720-c0115cf5c8d7,
stops,stop_name,zh-cn,三美园口,107 2,,,efd2290b-2e96-43f1-9720-c0115cf5c8d7,
stops,stop_name,zh-tw,三美園口,107 2,,,efd2290b-2e96-43f1-9720-c0115cf5c8d7,
stops,stop_name,ja,地蔵院下,109 1,,,cc3d7560-0609-43dd-9396-d4f353cb8b1a,
stops,stop_name,ja-Hrkt,ジゾウインシタ,109 1,,,cc3d7560-0609-43dd-9396-d4f353cb8b1a,
stops,stop_name,en,Jizoin-shita,109 1,,,cc3d7560-0609-43dd-9396-d4f353cb8b1a,
stops,stop_name,ko,지조인 시타,109 1,,,cc3d7560-0609-43dd-9396-d4f353cb8b1a,
stops,stop_name,zh-cn,地藏院下,109 1,,,cc3d7560-0609-43dd-9396-d4f353cb8b1a,
stops,stop_name,zh-tw,地蔵院下,109 1,,,cc3d7560-0609-43dd-9396-d4f353cb8b1a,
stops,stop_name,ja,地蔵院下,109 2,,,c0fa84cd-ab0c-489d-9b7c-81589346b6be,
stops,stop_name,ja-Hrkt,ジゾウインシタ,109 2,,,c0fa84cd-ab0c-489d-9b7c-81589346b6be,
stops,stop_name,en,Jizoin-shita,109 2,,,c0fa84cd-ab0c-489d-9b7c-81589346b6be,
stops,stop_name,ko,지조인 시타,109 2,,,c0fa84cd-ab0c-489d-9b7c-81589346b6be,
stops,stop_name,zh-cn,地藏院下,109 2,,,c0fa84cd-ab0c-489d-9b7c-81589346b6be,
stops,stop_name,zh-tw,地蔵院下,109 2,,,c0fa84cd-ab0c-489d-9b7c-81589346b6be,
stops,stop_name,ja,今宮,11 1,,,c5e55657-e598-4477-a93a-5d8439a7382c,
stops,stop_name,ja-Hrkt,イマミヤ,11 1,,,c5e55657-e598-4477-a93a-5d8439a7382c,
stops,stop_name,en,Imamiya,11 1,,,c5e55657-e598-4477-a93a-5d8439a7382c,
stops,stop_name,ko,이마미야,11 1,,,c5e55657-e598-4477-a93a-5d8439a7382c,
stops,stop_name,zh-cn,今宫,11 1,,,c5e55657-e598-4477-a93a-5d8439a7382c,
