trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
58fee34f-4910-4cd6-8115-23f4b4aa9e44,17:23:00,17:23:00,5910 1,7,熊野営業所,0,0,,
58fee34f-4910-4cd6-8115-23f4b4aa9e44,17:24:00,17:24:00,5900 1,8,熊野営業所,0,0,,
58fee34f-4910-4cd6-8115-23f4b4aa9e44,17:24:00,17:24:00,5890 1,9,熊野営業所,0,0,,
58fee34f-4910-4cd6-8115-23f4b4aa9e44,17:25:00,17:25:00,5880 1,10,熊野営業所,0,0,,
58fee34f-4910-4cd6-8115-23f4b4aa9e44,17:25:00,17:25:00,5870 1,11,熊野営業所,0,0,,
58fee34f-4910-4cd6-8115-23f4b4aa9e44,17:26:00,17:26:00,5860 1,12,熊野営業所,0,0,,
58fee34f-4910-4cd6-8115-23f4b4aa9e44,17:26:00,17:26:00,5850 1,13,熊野営業所,0,0,,
58fee34f-4910-4cd6-8115-23f4b4aa9e44,17:27:00,17:27:00,5840 1,14,熊野営業所,0,0,,
58fee34f-4910-4cd6-8115-23f4b4aa9e44,17:27:00,17:27:00,5830 1,15,熊野営業所,0,0,,
58fee34f-4910-4cd6-8115-23f4b4aa9e44,17:28:00,17:28:00,5820 1,16,熊野営業所,0,0,,
58fee34f-4910-4cd6-8115-23f4b4aa9e44,17:29:00,17:29:00,5810 1,17,熊野営業所,0,0,,
58fee34f-4910-4cd6-8115-23f4b4aa9e44,17:29:00,17:29:00,5800 1,18,熊野営業所,0,0,,
